Log started on 2021_03_09_103942
rodRBStateFileLogger.,
Simulation time (sec),CoM_X,CoM_Y,Theta,dCoM_X_dt,dCoM_Y_dt,dTheta_dt
0.685,7.2118e-08,0.0172204,-0.000700385,3.19135e-08,8.06374e-09,-0.000293475
0.69,7.22436e-08,0.0172204,-0.000700682,1.82781e-08,-3.68191e-09,-0.000169171
0.695,7.23033e-08,0.0172204,-0.000700838,6.06911e-09,-9.86612e-09,-5.72546e-05
0.7,7.23108e-08,0.0172204,-0.000700879,-2.3991e-09,-1.31867e-08,2.05078e-05
0.705,7.22865e-08,0.0172204,-0.000700849,-6.66364e-09,-1.50344e-08,5.96391e-05
0.71,7.22501e-08,0.0172204,-0.000700793,-7.45489e-09,-1.61258e-08,6.67855e-05
0.715,7.22157e-08,0.0172204,-0.000700743,-6.02695e-09,-1.68299e-08,5.34823e-05
0.72,7.21914e-08,0.0172204,-0.000700719,-3.64125e-09,-1.73368e-08,3.13588e-05
0.725,7.21793e-08,0.0172204,-0.000700725,-1.26294e-09,-1.77444e-08,9.31983e-06
0.73,7.21778e-08,0.0172204,-0.000700758,5.45949e-10,-1.81031e-08,-7.44823e-06
0.735,7.21834e-08,0.0172204,-0.000700808,1.59283e-09,-1.84389e-08,-1.71697e-05
0.74,7.21925e-08,0.0172204,-0.000700867,1.94688e-09,-1.87654e-08,-2.04862e-05
0.745,7.22021e-08,0.0172204,-0.000700928,1.81373e-09,-1.90896e-08,-1.92993e-05
0.75,7.22102e-08,0.0172204,-0.000700986,1.42971e-09,-1.94152e-08,-1.57937e-05
0.755,7.22163e-08,0.0172204,-0.00070104,9.92741e-10,-1.97441e-08,-1.17991e-05
0.76,7.22203e-08,0.0172204,-0.00070109,6.31154e-10,-2.00775e-08,-8.50171e-06
0.765,7.22228e-08,0.0172204,-0.000701137,4.01999e-10,-2.04159e-08,-6.42889e-06
0.77,7.22246e-08,0.0172204,-0.000701182,3.07091e-10,-2.07597e-08,-5.5975e-06
0.775,7.22261e-08,0.0172204,-0.000701228,3.15531e-10,-2.1109e-08,-5.72199e-06
0.78,7.22278e-08,0.0172204,-0.000701275,3.84667e-10,-2.1464e-08,-6.40822e-06
0.785,7.223e-08,0.0172204,-0.000701323,4.75148e-10,-2.18249e-08,-7.29249e-06
0.79,7.22326e-08,0.0172204,-0.000701374,5.58928e-10,-2.21917e-08,-8.11561e-06
0.795,7.22355e-08,0.0172204,-0.000701426,6.21252e-10,-2.25644e-08,-8.74124e-06
0.8,7.22387e-08,0.0172204,-0.00070148,6.58649e-10,-2.29433e-08,-9.13731e-06
0.805,7.22421e-08,0.0172204,-0.000701534,6.75073e-10,-2.33285e-08,-9.34036e-06
0.81,7.22454e-08,0.0172204,-0.000701589,6.77873e-10,-2.37199e-08,-9.41834e-06
0.815,7.22488e-08,0.0172204,-0.000701645,6.74631e-10,-2.41177e-08,-9.44134e-06
0.82,7.22522e-08,0.0172204,-0.000701703,6.71264e-10,-2.45221e-08,-9.46405e-06
0.825,7.22555e-08,0.0172204,-0.00070176,6.71302e-10,-2.49331e-08,-9.5191e-06
0.83,7.22589e-08,0.0172204,-0.000701819,6.7604e-10,-2.53508e-08,-9.6185e-06
0.835,7.22518e-08,0.0172204,-0.000699586,-1.38178e-08,5.56851e-06,0.000929407
0.84,7.18731e-08,0.0172205,-0.000680781,-1.39585e-07,7.87474e-06,0.00229115
0.845,7.1008e-08,0.0172205,-0.000667216,-1.91594e-07,4.07297e-06,0.0022962
0.85,7.00814e-08,0.0172205,-0.000659048,-1.70582e-07,2.09717e-06,0.00184915
0.855,6.9361e-08,0.0172205,-0.000654254,-1.14698e-07,1.07596e-06,0.00120142
0.86,6.89428e-08,0.0172205,-0.000651675,-5.35125e-08,5.48135e-07,0.000567921
0.865,6.88041e-08,0.0172205,-0.000650538,-4.77902e-09,2.75288e-07,8.22246e-05
0.87,6.88617e-08,0.0172205,-0.000650271,2.46352e-08,1.34198e-07,-0.00020808
0.875,6.9019e-08,0.0172205,-0.00065045,3.56604e-08,6.11836e-08,-0.000319788
0.88,6.91957e-08,0.0172205,-0.000650785,3.33996e-08,2.33382e-08,-0.000304253
0.885,6.9341e-08,0.0172205,-0.000651103,2.40615e-08,3.65705e-09,-0.000220971
0.89,6.94334e-08,0.0172205,-0.000651325,1.29492e-08,-6.64519e-09,-0.000120019
0.895,6.94735e-08,0.0172205,-0.000651438,3.53954e-09,-1.21071e-08,-3.40745e-05
0.9,6.94744e-08,0.0172205,-0.000651467,-2.59159e-09,-1.50728e-08,2.20067e-05
0.905,6.94534e-08,0.0172205,-0.000651449,-5.34436e-09,-1.67527e-08,4.71318e-05
0.91,6.94254e-08,0.0172205,-0.000651417,-5.48875e-09,-1.77715e-08,4.8309e-05
0.915,6.94011e-08,0.0172205,-0.000651395,-4.10413e-09,-1.84518e-08,3.54418e-05
0.92,6.93853e-08,0.0172205,-0.000651395,-2.18247e-09,-1.89599e-08,1.76508e-05
0.925,6.93789e-08,0.0172205,-0.000651419,-4.22744e-10,-1.93816e-08,1.36711e-06
0.93,6.93802e-08,0.0172205,-0.000651461,8.14976e-10,-1.97612e-08,-1.00966e-05
0.935,6.93861e-08,0.0172205,-0.000651515,1.45274e-09,-2.01217e-08,-1.60253e-05
0.94,6.93938e-08,0.0172205,-0.000651574,1.59306e-09,-2.04751e-08,-1.73662e-05
0.945,6.94015e-08,0.0172205,-0.000651633,1.41659e-09,-2.08275e-08,-1.57858e-05
0.95,6.94078e-08,0.0172205,-0.00065169,1.10438e-09,-2.11822e-08,-1.2954e-05
0.955,6.94125e-08,0.0172205,-0.000651744,7.93307e-10,-2.15411e-08,-1.01331e-05
0.96,6.94159e-08,0.0172205,-0.000651796,5.61475e-10,-2.1905e-08,-8.04337e-06
0.965,6.94183e-08,0.0172205,-0.000651846,4.34178e-10,-2.22745e-08,-6.91815e-06
0.97,6.94204e-08,0.0172205,-0.000651896,4.00309e-10,-2.26499e-08,-6.65509e-06
0.975,6.94224e-08,0.0172205,-0.000651946,4.30657e-10,-2.30314e-08,-6.98491e-06
0.98,6.94247e-08,0.0172205,-0.000651998,4.9281e-10,-2.34191e-08,-7.60878e-06
0.985,6.94274e-08,0.0172205,-0.000652052,5.60467e-10,-2.38132e-08,-8.28424e-06
0.99,6.94303e-08,0.0172205,-0.000652107,6.17272e-10,-2.42138e-08,-8.86049e-06
0.995,6.94335e-08,0.0172205,-0.000652163,6.56567e-10,-2.46209e-08,-9.27617e-06
1,6.94368e-08,0.0172205,-0.000652221,6.78876e-10,-2.50348e-08,-9.53612e-06
1.005,6.94403e-08,0.0172205,-0.00065228,6.88706e-10,-2.54555e-08,-9.68189e-06
